texture,fabric,shape,part,style
polka dot                    ,loose                        ,mid rise skinny              ,ladder-back                  ,new york                     
pom-pom                      ,loose-knit                   ,mid-rise                     ,lapel                        ,night                        
print                        ,mesh                         ,mid-rise skinny              ,leather peplum               ,notorious                    
print shirt                  ,mesh overlay                 ,midi                         ,leather trimmed              ,ny                           
print woven                  ,mesh panel                   ,mini                         ,leather-trimmed              ,nyc                          
printed                      ,mesh paneled                 ,moto                         ,long sleeve                  ,oxford                       
ribbed stripe                ,mesh-paneled                 ,muscle                       ,long-sleeve                  ,pan                          
ringer                       ,metallic                     ,overlay sheath               ,long-sleeved                 ,paradise                     
rugby stripe                 ,mineral                      ,oversized                    ,m-slit                       ,paris                        
rugby striped                ,mineral wash                 ,peasant                      ,m-slit maxi                  ,party                        
sophisticated                ,neon                         ,pencil                       ,mesh racerback               ,performance                  
southwestern                 ,neoprene                     ,pleated skater               ,mesh-trimmed                 ,pineapple                    
southwestern-inspired        ,nets                         ,polo                         ,mock                         ,pink                         
southwestern-patterned       ,netted                       ,popover                      ,mock neck                    ,pizza                        
southwestern-print           ,nylon                        ,print shift                  ,mock-neck                    ,pj                           
speckled                     ,oil                          ,print skater                 ,neck ribbed                  ,please                       
splatter                     ,organza                      ,print smock                  ,neck skater                  ,popcorn                      
spotted                      ,origami                      ,print smocked                ,neck striped                 ,posh                         
stripe                       ,overlay                      ,print tulip                  ,neckline                     ,power                        
striped                      ,panel                        ,puffer                       ,notched collar               ,quirky                       
stripes                      ,paneled                      ,pullover                     ,off-the-shoulder             ,rad                          
structured                   ,patched                      ,raw                          ,one-button                   ,raga                         
tonal                        ,patchwork                    ,raw-cut                      ,one-shoulder                 ,rainbow                      
tribal                       ,perforated                   ,rise                         ,open-back                    ,rebel                        
tribal-inspired              ,pima                         ,rise skinny                  ,open-front                   ,red                          
two-tone                     ,pintuck                      ,rose skater                  ,open-knit                    ,refined                      
varsity-striped              ,pintuck pleated              ,round                        ,open-shoulder                ,regime                       
watercolor                   ,pintucked                    ,scuba skater                 ,peplum                       ,relaxed                      
zig                          ,plaid                        ,sheath                       ,pin                          ,retro                        
zigzag                       ,plaid shirt                  ,shift                        ,pocket                       ,reverse                      
,pleat                        ,shirt                        ,print racerback              ,reversible                   
,pleated                      ,skater                       ,print strapless              ,roll                         
,pleated woven                ,skinny                       ,print strappy                ,rolling                      
,pointelle                    ,skinny stretch               ,print surplice               ,rolling stones               
,ponte                        ,skort                        ,print v-neck                 ,roman                        
,print satin                  ,slim                         ,racerback                    ,rose                         
,print scuba                  ,slip                         ,raglan                       ,roses                        
,purl                         ,slouchy                      ,raglan sleeve                ,rugby                        
,quilted                      ,smock                        ,ruffle trim                  ,run                          
,rhinestone                   ,smocked                      ,scallop                      ,running                      
,rib                          ,square                       ,scalloped                    ,rustic                       
,rib-knit                     ,straight-leg                 ,scoop                        ,safari                       
,ribbed                       ,striped trapeze              ,scoop-neck                   ,sea                          
,ribbed-knit                  ,swing                        ,self-tie                     ,seaside                      
,ripped                       ,trapeze                      ,shawl                        ,shark                        
,ruched                       ,trouser                      ,shoulder                     ,shopping                     
,ruffle                       ,tube                         ,side slit                    ,shore                        
,ruffled                      ,tulip                        ,side-slit                    ,sky                          
,sateen                       ,tunic                        ,single-button                ,smart                        
,satin                        ,vertical                     ,sleeve                       ,smile                        
,scuba                        ,wide-leg                     ,sleeveless                   ,snap                         
,seam                         ,windbreaker                  ,slit                         ,snoopy                       
,seamless                     ,windowpane                   ,split                        ,soft                         
,seersucker                   ,wrap                         ,split-back                   ,solid                        
,semi-sheer                   ,,split-neck                   ,spirit                       
,sequin                       ,,strap                        ,spongebob                    
,sequined                     ,,strapless                    ,sporty                       
,shaggy                       ,,strapless tribal             ,springs                      
,shearling                    ,,strappy                      ,standout                     
,sheer                        ,,striped v-neck               ,star                         
,sheer-paneled                ,,surplice                     ,stars                        
,shirred                      ,,suspender                    ,studio                       
,shredded                     ,,t-back                       ,summer                       
,sleek                        ,,tassel                       ,sun                          
,slick                        ,,tasseled                     ,sunburst                     
,slub                         ,,tie-back                     ,sunflower                    
,slub-knit                    ,,tie-front                    ,surfer                       
,sparkling                    ,,tie-neck                     ,sweet                        
,stone                        ,,toggle                       ,sweetheart                   
,stone washed                 ,,topstitched                  ,swim                         
,stones                       ,,trim                         ,swiss                        
,stretch                      ,,trimmed                      ,taco                         
,stretch-knit                 ,,tulip-back                   ,tasmanian                    
,studded                      ,,turtle-neck                  ,texas                        
,suede                        ,,twist-front                  ,thermal                      
,tapestry                     ,,twisted                      ,tokyo                        
,tartan                       ,,two-button                   ,tower                        
,terry                        ,,v-back                       ,track                        
,textured                     ,,v-cut                        ,training                     
,textured woven               ,,v-neck                       ,tree                         
,tie-dye                      ,,vent                         ,trench                       
,tiered                       ,,vented hem                   ,triangle                     
,tile                         ,,y-back                       ,tropical                     
,tulle                        ,,zip                          ,trouble                      
,tweed                        ,,zip-front                    ,tupac                        
,twill                        ,,zip-pocket                   ,utility                      
,velvet                       ,,zip-up                       ,van                          
,velveteen                    ,,zipped                       ,varsity                      
,waffle                       ,,zipper                       ,venice                       
,wash                         ,,zippered                     ,voyager                      
,washed                       ,,,wake                         
,woven                        ,,,wave                         
,,,,weekend                      
,,,,west                         
,,,,wifey                        
,,,,wild                         
,,,,wildflower                   
,,,,woke                         
,,,,workout                      
,,,,yoga                         
,,,,yoke                         
,,,,york                         
,,,,youth                        
,,,,zeppelin                     
